activity time calories
Sleeping (for a 70kg person),1hr,55
Eating (for a 70kg person),1hr,85
Sewing (for a 70kg person),1hr,85
Standing (for a 70kg person),1hr,100
Sitting (for a 70kg person),1hr,85
Driving (for a 70kg person),1hr,110
Office work (for a 70kg person),1hr,140
Moderate Housework (for a 70kg person),1hr,60+
Gardening (for a 70kg person),1hr,300
Dancing (for a 70kg person),1hr,350
Walking 3mph (for a 70kg person),1hr,280+
Aerobics (for a 70kg person),1hr,450+
Moderate Bicycling (for a 70kg person),1hr,450
Jogging 5mph (for a 70kg person),1hr,500
Swimming (for a 70kg person),1hr,500
Power walking (for a 70kg person),1hr,600
Skipping with rope (for a 70kg person),1hr,700
Running (for a 70kg person),1hr,600
Yoga (for a 70kg person),1hr,358
Weight Lifting (for a 70kg person),1hr,321
Walking brisk space  (for a 70kg person),1hr,268
Running 8mph (for a 70kg person),1hr,850
